"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"           1","        1700","18782.569732","       40320","HomeImp","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558"
"           1","195.81948127","       28502","       43034","HomeImp","Other","          11","           0","           0","88.766029879","           0","           8","36.884894093"
"           0","        2300","      102370","      120953","HomeImp","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178"
"           1","        2400","       34863","       47471","HomeImp","Mgr","          12","           0","           0","70.491080032","           1","          21","38.263600731"
"           0","        2400","       98449","      117195","HomeImp","Office","           4","           0","           0","93.811774855","           0","          13","29.681827045"
"           0","        2900","      103949","      112505","HomeImp","Office","           1","           0","           0"," 96.10232967","           0","          13","30.051136286"
"           0","        2900","      104373","      120702","HomeImp","Office","0.5892877349","           0","           0","101.54029753","           0","          13","29.915859028"
"           1","        2900","        7750","       67996","HomeImp","Other","          16","           3","           0","122.20466276","           2","           8","36.211347998"
"           1","        2900","       61962","       70915","DebtCon","Mgr","1.4406682232","           0","           0","282.80165924","           3","          37"," 49.20639579"
"           0","        3000","61713.322045","      121729","HomeImp","Office","           2","           0","           0","85.884371895","           0","          14","32.059783267"
"           0","        3200","       74864","       87266","HomeImp","ProfExe","1.1863869816","           0","           0","250.63126922","           0","          12","42.909997351"
"           1","        3300","      130518","      164317","DebtCon","Other","           9","           0","           6","192.28914897","           0","          33"," 35.73055919"
"           0","        3600","      100693","      114743","HomeImp","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382"
"           0","        3600","       52337","       63989","HomeImp","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508"
"           1","        3700","       17857","       21144","HomeImp","Other","           5","           0","           0","129.71732313","           1","           9","26.634347518"
"           0","        3800","       51180","       63459","HomeImp","Office","          20","           0","           0","203.75153358","           0","          20","20.067042051"
"           1","        3900","       29896","       45960","HomeImp","Other","          11","           0","           0","146.12324219","           0","          14","24.478881191"
"           0","        3900","      102143","      118742","HomeImp","Office","           2","           0","           0","85.277365579","           0","          13","29.343921089"
"           0","        4000","      105164","      112774","HomeImp","Office","           1","           0","           0","94.724874167","           0","          13","29.390928055"
"           0","        4000","       54543","       61777","HomeImp","Office","          21","           0","           0","205.58668003","           0","          19","21.806563464"
"           1","        4000","       26572","       31960","HomeImp","Office","          11","           0","           0","117.79510387","           0","           8","41.286491948"
"           0","        4100","       57992","       63797","DebtCon","ProfExe","           7","           0","           4","165.50503695","           1","          31"," 22.27817437"
"           0","        4200","       56544","       59218","HomeImp","Office","          19","           0","           0","211.00259912","           1","          20","19.027704425"
"           0","        4200","       66272","       82953","HomeImp","Other","           3","           0","           0","110.27866259","           0","          15","43.450587911"
"           0","        4200","       50216","       58541","HomeImp","Office","          19","           0","           0","209.87130224","           0","          19"," 20.20803267"
"           0","        4300","       71206","       78698","DebtCon","Sales","1.3245309346","           0","           0","129.93286902","           0","          31","34.181376516"
"           0","        4300","       68815","       79852","HomeImp","Other","           6","           0","           0","105.12070881","           0","          14","41.806376152"
"           0","        4300","       72021","       80027","HomeImp","Other","           2","           2","           0","263.97030029","           0","           5","36.432093937"
"           0","        4400","       53969","       63869","DebtCon","ProfExe","           7","           0","           3","162.39001067","           0","          30","23.581079239"
"           1","        4400","       53091","       64074","DebtCon","Office","          14","           1","           3"," 89.86105825","           0","          17","39.158084834"
"           0","        4500","       66127","       79087","HomeImp","Other","           4","           1","           0","81.349065098","           0","          15"," 40.70530876"
"           0","2099.6580492","       71082","       79247","HomeImp","Other","           4","           0","           0","118.76041007","           0","          14","41.421110521"
"           0","        4700","       71855","       88566","HomeImp","Other","           2","           2","           0","283.95953809","           0","           5","36.475473283"
"           0","        4700","       88026","      115506","HomeImp","ProfExe","           6","           0","           0","182.24833156","           0","          27"," 29.20902258"
"           0","1856.9617854","       56067","       63102","DebtCon","ProfExe","           9","           0","           3","160.14631128","           1","          30","21.583760121"
"           0","        4800","       80482","       88342","HomeImp","ProfExe","           7","           0","           0","275.03239483","           0","          11","43.717635112"
"           0","        4900","       58688","       63348","DebtCon","ProfExe","           9","           0","           3","179.16257471","           2","          31","22.544392837"
"           1","1923.7431082","       25597","       23031","HomeImp","Other","           5","           0","           0","101.74676644","           0","           8","33.243156978"
"           0","        4900","       67794","       84630","HomeImp","Other","           4","           0","           0","112.57341888","           0","          15","41.673996362"
"           1","        4900","       65576","       65774","HomeImp","Other","           6","           1","           2"," 61.64250608","           1","          14","40.590910018"
"           0","        4900","       57461","       68494","DebtCon","ProfExe","           8","           0","           4","183.63561323","           0","          30","22.795423552"
"           0","        5000"," 2476.660241","       87168","HomeImp","Other","           4","           0","           0","122.59722258","           0","          15","40.616779346"
"           0","3630.4535268","       90059","      113714","HomeImp","ProfExe","           7","           0","           0","193.63644686","           0","          28","25.897316482"
"           0","2725.4536854","       80153","       97275","DebtCon","Other","           1","           0","           0","120.67506316","           2","          10","37.512708409"
"           1","        5000","       46696","       85202","HomeImp","Other","           2","           1","           2","148.34064549","           0","          14","46.489874001"
"           0","        5000","       66435","       82819","HomeImp","Other","           2","           0","           0","125.13062556","           0","          14","42.183538672"
"           0","        5100","12523.272114","      115341","HomeImp","ProfExe","           7","           0","           0","177.95825512","           1","          28","26.257970132"
"           0","        5100","       72891","62205.572107","HomeImp","Other","           1","           1","           0","273.88170516","           0","           6","39.852146515"
"           0","        5100","       87258","      121382","HomeImp","ProfExe","           6","           0","           0","181.66304016","           0","          28","25.444759149"
"           1","        5100","      129319","      141875","HomeImp","Sales","           7","           1","           0","157.85980209","           0","          36","25.650741224"
"           0","        5100","       66834","       87361","HomeImp","Other","           0","           2","           0","290.03410799","           0","           6","38.766985071"
"           0","        5100","56032.770771","       96031","DebtCon","Other","           0","           0","           0","125.78740011","           1","          10","34.446079222"
"           0","        5100","       74071","       97064","DebtCon","Other","           0","           0","           0"," 121.0759726","           2","           9","36.401729548"
"           0","        5100","       62702","       79784","HomeImp","Other","           2","           0","           0","108.07259081","           0","          15","43.290139816"
"           1","        5200","       40564","       39527","HomeImp","Other","           0","           0","           0","157.77103572","           1","          13","72.670433313"
"           0","        5300","       66987","       65111","HomeImp","Sales","           4","           1","           0","175.32870382","           1","          22","40.442570389"
"           0","        5300","155.13383904","       91703","DebtCon","Other","           0","           0","           0"," 124.1821788","           1","          10","34.599060194"
"           0","        5300","       97132","      117343","HomeImp","Office","          22","           0","           0","109.93390789","           1","          11","  35.8385427"
"           0","        5300","       47449","       63895","HomeImp","Office","          19","           0","           0","208.16271401","           0","          20","19.762113701"
"           0","        5300","       50934","       62957","HomeImp","Office","          21","           0","           0","197.24195728","           0","          20","19.350505633"
"           1","        5400","       86922","      119846","HomeImp","ProfExe","           5","           0","           0","185.07634726","           1","          28","26.354889295"
"           0","        5400","       68625","       82304","DebtCon","Sales","           2","           0","           0","136.63294416","           0","          30"," 32.05002349"
"           0","        5400","       65814","       85848","HomeImp","Other","           4","           0","           0"," 122.9402886","           0","          15","44.092325682"
