Age,WorkClass,Education,MartialStatus,Occupation,Relationship,Race,Sex,HoursPerWeek,NativeCountry,GE50K
39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,0
38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,0
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,0
37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0
49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,0
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1
31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,1
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,1
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,0
32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,50,United-States,0
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,,1
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,0
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,0
32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,0
38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,1
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,1
54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,20,United-States,0
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,0
43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0
59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,1
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0
54,,Some-college,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,60,South,1
39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,0
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,0
20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,44,United-States,0
45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,0
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,0
22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,0
48,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,0
21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,0
