airline_sentiment,negativereason,airline,airline_sentiment_gold,name,retweet_count,text,tweet_created,tweet_id,tweet_location,user_timezone
neutral,,Virgin America,,cairdin,0,@VirginAmerica What @dhepburn said.,2/24/15 11:35,5.70306E+17,,Eastern Time (US & Canada)
positive,,Virgin America,,jnardino,0,@VirginAmerica plus you've added commercials to the experience... tacky.,2/24/15 11:15,5.70301E+17,,Pacific Time (US & Canada)
neutral,,Virgin America,,yvonnalynn,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,2/24/15 11:15,5.70301E+17,Lets Play,Central Time (US & Canada)
negative,Bad Flight,Virgin America,,jnardino,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2/24/15 11:15,5.70301E+17,,Pacific Time (US & Canada)
negative,Can't Tell,Virgin America,,jnardino,0,@VirginAmerica and it's a really big bad thing about it,2/24/15 11:14,5.70301E+17,,Pacific Time (US & Canada)
negative,Can't Tell,Virgin America,,jnardino,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2/24/15 11:14,5.70301E+17,,Pacific Time (US & Canada)
positive,,Virgin America,,cjmcginnis,0,"@VirginAmerica yes, nearly every time I fly VX this ear worm۝ won۪t go away :)",2/24/15 11:13,5.70301E+17,San Francisco CA,Pacific Time (US & Canada)
neutral,,Virgin America,,pilot,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2/24/15 11:12,5.703E+17,Los Angeles,Pacific Time (US & Canada)
positive,,Virgin America,,dhepburn,0,"@virginamerica Well, I didn't_but NOW I DO! :-D",2/24/15 11:11,5.703E+17,San Diego,Pacific Time (US & Canada)
positive,,Virgin America,,YupitsTate,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2/24/15 10:53,5.70295E+17,Los Angeles,Eastern Time (US & Canada)
