Maintenance_flag,Speed_sensor,Vibration,Engine_Load,Coolant_Temp,Intake_Pressure,Engine_RPM,Speed_OBD,Intake_Air,Flow_Rate,Throttle_Pos,Voltage,Ambient,Accel,Engine_Oil_Temp,Speed_GPS,GPS_Longitude,GPS_Latitude,GPS_Bearing,GPS_Altitude,Turbo_Boost,Trip_Distance,Litres_Per_km,Accel_Ssor_Total,CO2,Trip_Time,CO_emission,HC_emission,PM_emission,NOx_emission,CO2_emission,Fuel_level,Oil_life,Vibration_alert,VibrationAlert_Total,Vibration_Recent,Turbo_alert,Emission_alert,Fog_control,Engine_control
0,35,249.188875,21.568628,88,116,1115.5,35,10,18.33,80,14.1,7,27.843138,85,36.21602,9.141699359,48.93275675,75.2,164,2.755716,310.262,2.351502,0.045858,62.197178,11539,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,142,243.236572,20.392157,88,135,1782.5,142,16,35.41,80,14.1,8,34.509804,85,148.96802,9.885383615,48.49479048,274.4,436,5.511435,161.02463,1.244649,0.043655,32.92094,4242,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,128,244.015378,43.52941,81,109,1588,128,9,27.08,80,14.2,8,14.901961,79,132.40822,9.648059615,48.47957448,257.1,508,1.740453,158.23788,2.1241,0.073833,56.18241,4146,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,117,244.627297,99.60784,89,128,1899.5,117,13,36.99,80,14.16,7,43.92157,87,124.23608,8.344291815,48.61121624,330.7,618,4.49617,148.82233,0,0.059974,0,3880,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,98,245.684248,73.333336,89,123,1230.5,98,9,21.63,80,14.12,7,14.901961,85,100.620926,7.746546763,48.37797634,3,154,3.770981,296.00378,4.031921,-0.019424,106.64425,10408,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,96,245.795506,0,83,115,1175,96,9,20.91,80,14.22,8,14.901961,81,99.21811,9.722799359,48.71345675,274.8,216,2.61068,252.7264,0,-0.11761,0,8240,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,55,248.076295,39.607845,87,110,1324,55,10,22.69,80,14.24,8,14.901961,84,56.95204,8.111983859,48.24048704,116.2,156,1.88549,304.47766,3.40812,0.041098,90.14472,10769,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,58,247.909408,38.82353,88,105,1410.5,58,10,22.52,80,14.3,7,32.156864,86,59.724094,8.810879615,48.70215648,254.9,789,1.160302,137.92912,0,0.008018,26.569048,3431,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,114,244.794184,14.117647,90,113,1403,114,11,24.24,80,14.14,9,29.411766,89,117.288086,8.849629075,48.66864552,287.6,502,2.320604,211.98659,0,-0.041719,19.719515,6904,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,157,242.402137,54.11765,88,137,1932,157,11,40.44,79.21569,14.14,7,14.901961,84,159.84058,10.04504962,48.48762048,273.3,438,5.80151,162.94577,3.422803,-0.066723,90.53307,4286,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,34,249.244504,28.62745,87,120,1320.5,34,9,24.86,80,14.06,7,24.313726,84,37.26007,9.156969359,48.92879075,63.4,160,3.335867,310.45306,5.248885,0.055984,138.8329,11559,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,124,244.237894,58.823532,89,118,1529.5,124,11,28.94,78.82353,14.2,9,14.901961,88,126.32401,8.897851075,48.65803152,290.1,507,3.045792,212.58609,4.16179,-0.04288,110.079285,6923,0,0,0,0,0,0,0,1,123,12,1,1,1,1
0,84,246.463054,0,79,108,1291,84,9,22.44,80,14.24,7,14.901961,78,85.82593,9.25895286,49.23392943,319.2,642,1.595415,146.38016,0,0.01792,0,3790,0,0,0,0,0,0,0,1,123,12,1,1,1,1
