BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,26800,46236,62711,DebtCon,Office,17,0,0,175.075058,1,22,33.05993364
0,26900,74982,126972,DebtCon,Office,0,0,0,315.8189112,0,23,38.32598985
0,26900,67144,92923,DebtCon,Other,16,0,0,89.11217349,1,17,32.79147803
0,26900,45763,73797,DebtCon,Other,23,,0,291.5916815,1,29,39.37085816
0,27000,144901,178093,DebtCon,ProfExe,7,0,0,331.1139721,0,34,40.5665519
0,27000,,38441,DebtCon,Other,8,1,,85.17950335,,14,23.69117601
0,27100,140305,237302,HomeImp,ProfExe,27,0,0,349.5142676,2,18,37.42084716
0,27100,118200,159739,DebtCon,ProfExe,6,0,1,117.1521605,3,27,34.20600845
0,27200,61000,104044,DebtCon,Other,16,0,1,141.9812345,0,30,39.54650758
0,27300,66878,93656,DebtCon,Office,11,0,0,153.7959046,0,20,39.08500634
0,27300,135823,185416,DebtCon,Mgr,1,,,135.3597477,,38,32.79497644
0,27300,149950,177309,DebtCon,ProfExe,6,0,0,328.1681227,0,35,39.15955376
0,27400,,121625,DebtCon,Mgr,7,1,0,154.4378476,0,27,33.37381367
0,27400,41370,70528,DebtCon,Office,18,0,0,180.204345,1,21,33.4950887
0,27500,150666,192346,HomeImp,Self,3,0,0,177.8714733,0,17,39.97865033
0,27600,54584,86568,DebtCon,Other,22,0,0,214.8157373,1,27,35.2239708
0,27600,150120,191972,HomeImp,Self,3,0,0,178.0384911,1,16,41.80742805
0,27600,124139,157940,DebtCon,Mgr,4,0,0,288.8865396,0,24,38.22673698
0,27700,63962,101676,DebtCon,Other,15,0,1,138.5694126,0,30,37.38458848
1,27700,61396,111627,,Self,20,0,0,87.00250011,0,4,84.61388869
1,27700,83300,,HomeImp,Mgr,20,1,4,247.9333333,1,19,
0,27700,35132,71456,DebtCon,Mgr,13,0,0,84.8749672,5,16,35.65073032
0,27800,127770,169440,DebtCon,Mgr,2,0,0,235.728547,1,24,34.84415543
0,27900,66027,102745,DebtCon,ProfExe,9,0,0,298.1032514,1,32,38.25030605
0,27900,113843,156282,DebtCon,ProfExe,7,0,0,109.9596262,2,27,33.94246485
0,28000,49764,74526,DebtCon,Other,24,,1,294.594783,1,30,37.61130938
0,28000,96015,127551,DebtCon,ProfExe,0,1,0,196.5234881,3,37,34.87164312
1,28100,61000,99000,DebtCon,Mgr,7,0,1,129.1666667,1,31,
0,28200,58232,97555,DebtCon,Other,17,0,1,130.4507649,0,29,38.0927303
0,28200,185607,227617,DebtCon,ProfExe,0,0,0,311.0627554,0,33,42.435285
1,28200,66242,109762,DebtCon,Other,8,0,1,130.9695654,0,21,60.29541349
0,28300,68959,102048,DebtCon,ProfExe,12,0,0,278.7147042,1,32,39.93275013
0,28400,72870,95647,DebtCon,Office,11,0,0,139.0452547,0,20,37.82067846
0,28400,112996,175817,DebtCon,Sales,17,0,0,303.2820551,1,31,36.2890026
0,28500,73188,111925,HomeImp,Other,5,,,123.6131744,11,21,44.52055475
0,28500,100145,130522,DebtCon,Office,10,0,0,137.9428692,0,29,39.07258918
0,28600,136546,185507,DebtCon,ProfExe,0,0,0,212.3140985,3,19,40.51680132
0,28700,107281,155874,DebtCon,ProfExe,10,0,0,173.8358358,0,17,32.74036849
0,28800,204455,245685,HomeImp,Other,8,0,0,123.3967471,1,42,42.34547139
0,28800,30357,56776,DebtCon,Other,35,0,0,294.4200214,0,22,37.53746125
0,28900,,117991,DebtCon,Mgr,7,0,0,159.5500246,0,27,32.16500253
0,28900,29515,49525,DebtCon,Other,36,0,0,288.6562467,0,24,39.60580772
1,29000,101824,,DebtCon,Mgr,4,2,4,186.7,0,14,
0,29300,68024,115954,HomeImp,Other,6,,,109.9150205,11,21,44.36917076
0,29500,50079,80222,DebtCon,Office,1,0,0,147.9901182,2,19,38.139022
0,29800,134560,187551,DebtCon,ProfExe,1,0,0,225.0922987,1,19,39.21193749
1,29900,22000,,DebtCon,Other,2,2,0,81.13333333,11,10,
0,30000,187000,293000,DebtCon,Other,28,0,0,156.6333333,0,23,
1,30000,17696,53100,DebtCon,Mgr,20,4,5,147.8666667,0,28,
0,30100,24350,40356,DebtCon,Other,0,0,0,81.8402502,0,6,13.40999565
1,30200,36000,73500,DebtCon,Office,14,0,1,202.9666667,0,33,
0,30300,137927,182588,DebtCon,ProfExe,1,1,0,248.980672,1,18,40.36185207
0,30400,45747,78829,DebtCon,Office,0,0,0,174.3637482,3,18,41.25679468
0,30500,113822,148478,DebtCon,ProfExe,10,0,0,165.7882784,0,16,31.16320701
0,30600,35332,71898,DebtCon,Other,10,,,115.2108955,,24,33.07135028
0,30800,129062,176389,DebtCon,Mgr,13,0,0,184.3193761,2,28,40.89430209
0,30800,125787,175196,DebtCon,Mgr,13,0,0,157.8776807,2,29,41.35097453
0,31000,133471,188154,DebtCon,ProfExe,0,0,0,218.5382606,2,18,40.31508349
0,31000,51370,103298,DebtCon,Office,0,0,0,175.6096146,2,25,38.09341464
0,31200,124295,176185,DebtCon,Mgr,12,0,0,171.2144163,1,27,43.17681901
0,31300,106960,144201,DebtCon,Other,15,0,0,230.4130352,0,40,42.66665957
1,31500,22100,35000,DebtCon,Other,1.9,2,0,85.23333333,2,14,
0,31600,15036,44220,DebtCon,Other,28,0,0,204.7009169,0,14,42.61822346
0,31800,70680,114720,HomeImp,Other,5,,,115.8502492,11,20,43.06942356
0,31900,34498,82962,DebtCon,Other,,,,285.2974893,0,16,41.15524125
0,32000,42478,85942,DebtCon,Other,,,,278.3638835,0,16,40.25722171
0,32100,127901,176592,DebtCon,Mgr,12,0,0,186.6022388,2,27,40.95937708
0,32300,235343,45270,DebtCon,Mgr,3,0,1,210.9224034,3,49,41.26480552
0,32300,133193,174905,DebtCon,Mgr,13,0,0,177.0516476,1,28,39.4756896
0,32500,124548,169881,DebtCon,ProfExe,16,0,0,129.524283,1,17,28.85081359
0,32700,14955,38584,DebtCon,Other,29,0,0,197.9863148,0,14,41.52909627
0,32900,232792,293949,DebtCon,ProfExe,13,0,1,275.6958052,1,26,27.87825784
0,33000,232113,46286,DebtCon,Mgr,3,0,1,214.3529578,2,50,42.51200002
0,33100,236847,46091,DebtCon,Mgr,1,0,2,205.6506602,3,49,41.83267428
0,33200,57419,103648,DebtCon,Office,4,0,0,175.3867231,1,25,34.28625051
0,33400,37262,76717,DebtCon,Other,9,,,131.044986,,24,32.02105145
0,33500,49292,104421,DebtCon,Office,1,0,0,161.8332356,1,25,36.89609946
0,33700,142468,195770,DebtCon,ProfExe,22,0,0,200.8607367,1,22,36.50527114
0,33700,26395,48905,DebtCon,Mgr,6,0,0,48.71005322,0,7,36.42433271
0,33900,231455,290039,DebtCon,ProfExe,4,0,0,222.8746479,0,30,16.6894908
0,34100,138523,196555,DebtCon,ProfExe,21,0,0,185.0054347,1,22,38.8960395
0,34400,97971,145124,DebtCon,Other,13,0,0,67.83204167,1,36,40.40270584
0,34700,81688,131993,DebtCon,Mgr,27,0,0,327.4923598,0,19,41.21264082
0,34900,236340,37598,DebtCon,Mgr,2,0,1,220.6025351,4,50,41.85741593
1,35000,391000,505000,DebtCon,ProfExe,4.5,0,0,192.7666667,0,22,
0,35300,83439,134691,DebtCon,Mgr,30,0,0,355.8060308,0,20,41.88307125
0,35700,238104,43026,DebtCon,Mgr,3,0,1,206.6470786,3,49,41.27663712
0,36000,145908,190303,DebtCon,ProfExe,20,0,0,179.7192455,0,21,38.60076499
0,36200,36974,54452,DebtCon,Other,,0,0,,7,0,31.16435392
0,36300,142395,195120,DebtCon,ProfExe,22,0,0,185.3593721,0,22,38.35509489
0,36500,141200,195729,DebtCon,ProfExe,23,0,0,182.7288948,0,22,37.40550958
0,36600,32590,58157,DebtCon,Other,,0,0,,6,0,33.01693102
