BASE,COMPARE,Metric,MetricLabel,VLABEL,_DATAROLE_,_VARIABLE_,maxdiff
female,male,P_Survived1,Average P_Survived1,,TEST,Sex,0.55960374243258
male,female,P_Survived0,Average P_Survived0,,TEST,Sex,0.55960374243258
female,male,TPR,True Positive Rate,,TEST,Sex,0.11904761904761
female,female,FPR,False Positive Rate,,TEST,Sex,0.0
female,female,TNR,True Negative Rate,,TEST,Sex,0.0
male,female,FNR,False Negative Rate,,TEST,Sex,0.11904761904761
female,male,FDR,False Discovery Rate,,TEST,Sex,0.03939393939393
female,male,ACC,Accuracy,,TEST,Sex,0.03082003302146
female,male,C,Area Under ROC,,TEST,Sex,0.00112647209421
female,male,F1,F1 Score,,TEST,Sex,0.05833333333333
female,male,GINI,Gini Coefficient,,TEST,Sex,0.00225294418842
male,female,MISCEVENT,Event Misclassification Rate at Cutoff,,TEST,Sex,0.03082003302146
female,male,MISCEVENTKS,Event Misclassification Rate at Maximum KS,,TEST,Sex,0.55998899284534
male,female,MCE,Misclassification Rate,,TEST,Sex,0.03082003302146
male,female,ASE,Average Squared Error,,TEST,Sex,0.16712454595487
male,female,RASE,Root Average Squared Error,,TEST,Sex,0.09722294285328
male,female,MCLL,Multi-Class Log Loss,,TEST,Sex,2.86438285103328
female,female,maxKS,Best Kolmogorov-Smirnov Along ROC,,TEST,Sex,0.0
female,male,cutoffKS,Kolmogorov-Smirnov at Cutoff,,TEST,Sex,0.11904761904761
male,female,GAIN,Gain,,TEST,Sex,0.14285714285714
male,female,LIFT,Lift,,TEST,Sex,0.28571428571428
male,female,RESP,% Captured Response,,TEST,Sex,1.42857142857142
male,female,CUMRESP,Cumulative % Captured Response,,TEST,Sex,1.42857142857142
male,female,CUMLIFT,Cumulative Lift,,TEST,Sex,0.14285714285714
female,male,PREDICTED_EVENT,Average Prediction for Event,,TEST,Sex,0.55960374243258
female,male,INTO_EVENT,Proportion Into Event Level,,TEST,Sex,0.59080902586681
2.0,3.0,P_Survived1,Average P_Survived1,,TEST,Pclass,0.12148275862068
3.0,2.0,P_Survived0,Average P_Survived0,,TEST,Pclass,0.12148275862068
1.0,2.0,TPR,True Positive Rate,,TEST,Pclass,0.05882352941176
1.0,1.0,FPR,False Positive Rate,,TEST,Pclass,0.0
1.0,1.0,TNR,True Negative Rate,,TEST,Pclass,0.0
2.0,1.0,FNR,False Negative Rate,,TEST,Pclass,0.05882352941176
2.0,1.0,FDR,False Discovery Rate,,TEST,Pclass,0.1
1.0,2.0,ACC,Accuracy,,TEST,Pclass,0.03846153846153
3.0,2.0,C,Area Under ROC,,TEST,Pclass,0.00587606837606
1.0,2.0,F1,F1 Score,,TEST,Pclass,0.07407407407407
3.0,2.0,GINI,Gini Coefficient,,TEST,Pclass,0.01175213675213
2.0,1.0,MISCEVENT,Event Misclassification Rate at Cutoff,,TEST,Pclass,0.03846153846153
2.0,3.0,MISCEVENTKS,Event Misclassification Rate at Maximum KS,,TEST,Pclass,0.1911330049261
2.0,1.0,MCE,Misclassification Rate,,TEST,Pclass,0.03846153846153
1.0,3.0,ASE,Average Squared Error,,TEST,Pclass,0.09282274725274
1.0,3.0,RASE,Root Average Squared Error,,TEST,Pclass,0.05255266689583
3.0,2.0,MCLL,Multi-Class Log Loss,,TEST,Pclass,1.75213337411837
1.0,1.0,maxKS,Best Kolmogorov-Smirnov Along ROC,,TEST,Pclass,0.0
1.0,2.0,cutoffKS,Kolmogorov-Smirnov at Cutoff,,TEST,Pclass,0.05882352941176
1.0,1.0,GAIN,Gain,,TEST,Pclass,0.0
1.0,1.0,LIFT,Lift,,TEST,Pclass,0.0
1.0,1.0,RESP,% Captured Response,,TEST,Pclass,0.0
1.0,1.0,CUMRESP,Cumulative % Captured Response,,TEST,Pclass,0.0
1.0,1.0,CUMLIFT,Cumulative Lift,,TEST,Pclass,0.0
2.0,3.0,PREDICTED_EVENT,Average Prediction for Event,,TEST,Pclass,0.12148275862068
2.0,3.0,INTO_EVENT,Proportion Into Event Level,,TEST,Pclass,0.16256157635467
