BASE,COMPARE,Metric,MetricLabel,VLABEL,_DATAROLE_,_VARIABLE_,maxdiff
male,female,P_Fare,Average P_Fare,,TEST,Sex,5.50040062495773
male,female,ASE,Average Squared Error,,TEST,Sex,116.143783094665
male,female,RASE,Root Average Squared Error,,TEST,Sex,2.06147035110943
male,female,MAE,Mean Absolute Error,,TEST,Sex,2.10204414610081
male,female,RMAE,Root Mean Absolute Error,,TEST,Sex,0.27261521860858
female,male,MSLE,Mean Squared Logarithmic Error,,TEST,Sex,0.3993612676661
female,male,RMSLE,Root Mean Squared Logarithmic Error,,TEST,Sex,0.26842419316734
male,female,PREDICTED,Average Prediction,,TEST,Sex,5.50040062495773
1.0,3.0,P_Fare,Average P_Fare,,TEST,Pclass,71.6925367438858
1.0,3.0,ASE,Average Squared Error,,TEST,Pclass,3028.07474361257
1.0,3.0,RASE,Root Average Squared Error,,TEST,Pclass,43.2851585902399
1.0,3.0,MAE,Mean Absolute Error,,TEST,Pclass,30.102010092422
1.0,3.0,RMAE,Root Mean Absolute Error,,TEST,Pclass,3.26743552392739
3.0,1.0,MSLE,Mean Squared Logarithmic Error,,TEST,Pclass,0.31410598512007
3.0,1.0,RMSLE,Root Mean Squared Logarithmic Error,,TEST,Pclass,0.23114445039865
1.0,3.0,PREDICTED,Average Prediction,,TEST,Pclass,71.6925367438858
