,P_Fare,Sex,Fare,Pclass
0,14.510252587631406,male,7.25,3
1,81.79058244194496,female,71.2833,1
2,-3.896983193417526,female,7.925,3
3,79.4874211194674,female,53.1,1
4,1.1193135921738389,male,8.05,3
6,72.47938540578963,male,51.8625,1
7,46.48306308823048,male,21.075,3
8,11.495772311974633,female,11.1333,3
9,29.745527638340274,female,30.0708,2
10,21.517920792666175,female,16.7,3
11,61.54112713671503,female,26.55,1
12,7.952346073116033,male,8.05,3
13,46.38687661953434,male,31.275,3
14,7.376415500617185,female,7.8542,3
15,-0.07017314020870913,female,16.0,2
16,56.31604097028022,male,29.125,3
18,7.1012895341903715,female,18.0,3
20,18.15665310853755,male,26.0,2
21,12.805215897986074,male,13.0,2
22,3.4779076626821492,female,8.0292,3
23,78.51633566347513,male,35.5,1
24,40.440706530977884,female,21.075,3
25,37.72629584410714,female,31.3875,3
27,126.67835140136606,male,263.0,1
30,82.52665020666834,male,27.7208,1
33,4.035052647923692,male,10.5,2
34,95.46205370339644,male,82.1708,1
35,85.41478890251773,male,52.0,1
37,7.496810574386551,male,8.05,3
38,20.49222852964794,female,18.0,3
39,12.708188121976562,female,11.2417,3
40,3.001470045625055,female,9.475,3
41,25.960771045472008,female,21.0,2
43,50.604709128486185,female,41.5792,2
44,1.6557656677642356,female,7.8792,3
49,13.023251017673601,female,17.8,3
50,51.674363106557415,male,39.6875,3
51,7.496810574386551,male,7.8,3
52,76.77969195592067,female,76.7292,1
53,19.242727338732088,female,26.0,2
54,79.06240824049218,male,61.9792,1
56,15.418033816593592,female,10.5,2
57,7.7500621525814495,male,7.2292,3
58,46.02387031236123,female,27.75,2
59,65.24534412567465,male,46.9,3
60,10.711042894323064,male,7.2292,3
62,84.04818240632929,male,83.475,1
63,53.49613759283234,male,27.9,3
66,11.773749826757758,female,10.5,2
67,8.407881571845508,male,8.1583,3
68,45.92703734716677,female,7.925,3
69,20.15708810468782,male,8.6625,3
70,19.52325960472599,male,10.5,2
71,59.658523067151535,female,46.9,3
72,24.534150090750266,male,73.5,2
73,16.357878411379478,male,14.4542,3
74,-3.3210526209186852,male,56.4958,3
75,5.67466857946863,male,7.65,3
78,43.76361939496454,male,29.0,2
79,-5.719125188335447,female,12.475,3
80,7.041275075657069,male,9.0,3
81,-1.9544461247302465,male,9.5,3
83,84.32330837275609,male,47.1,1
84,17.240175811511506,female,10.5,2
85,15.32120085139912,female,15.85,3
86,41.015902086190735,male,34.375,3
88,115.74009313229145,female,263.0,1
89,6.130204078198112,male,8.05,3
90,3.8525265845507164,male,8.05,3
91,7.952346073116033,male,7.8542,3
92,83.5926469075998,male,61.175,1
93,28.53640159683512,male,20.575,3
94,-9.813538377333671,male,7.25,3
96,68.40504974605447,male,34.6542,1
97,92.38792647784935,male,63.3583,1
98,17.420217835171172,female,23.0,2
99,26.081166119241367,male,26.0,2
100,0.9989185184044729,female,7.8958,3
102,95.43620236592326,male,77.2875,1
103,2.0303845896327957,male,8.6542,3
104,15.146197618663543,male,7.925,3
105,4.308062083280191,male,7.8958,3
106,-1.6193056997701305,female,7.65,3
108,-0.2472929040145999,male,7.8958,3
110,75.66813389689598,male,52.0,1
111,18.287393081892773,female,14.4542,3
112,7.041275075657069,male,8.05,3
113,12.112180020214645,female,9.825,3
114,9.679576823094749,female,14.4583,3
115,7.496810574386551,male,7.925,3
116,-12.68819624264728,male,7.75,3
117,28.358843612888766,male,21.0,2
118,97.73936368840083,male,247.5208,1
119,58.567042537389916,female,31.275,3
120,39.472105114698934,male,73.5,2
122,30.43423718600158,male,30.0708,2
123,10.179375581204575,female,13.0,2
124,80.40353090785045,male,77.2875,1
125,16.928402684311234,male,11.2417,3
127,0.3232313689171491,male,7.1417,3
129,-3.4360413951209523,male,6.975,3
130,5.700152408298791,male,7.8958,3
131,7.952346073116033,male,7.05,3
132,-0.18727844548130435,female,14.5,3
133,19.242727338732088,female,26.0,2
134,22.71200809583235,male,13.0,2
135,27.2928469119573,male,15.0458,2
136,95.15530259128637,female,26.2833,1
137,87.69246639616512,male,53.1,1
138,9.774488068033946,male,9.2167,3
139,89.81521818634002,male,79.2,1
141,-2.0748411984996054,female,7.75,3
142,4.483065316015768,female,15.85,3
143,10.77188194192091,male,6.75,3
144,25.9007565869387,male,11.5,2
145,40.83834410224438,male,36.75,2
146,-1.0433751272712897,male,7.7958,3
147,40.44033902233489,female,34.375,3
148,33.32164086456497,male,26.0,2
149,14.967904617431202,male,13.0,2
150,10.868085128865886,male,12.525,2
151,85.40938260295063,female,66.6,1
152,-8.219164131780488,male,8.05,3
153,14.462159353283333,male,14.5,3
155,85.43990522270488,male,61.3792,1
